"","National Savings & Investments - Prize winners October 2021","","","","","",""
"","","","","","","",""
"","Prize Value","Winning Bond NO.","","Total V of Holding","Area","Val of Bond","Dt of Pur"
"","10000.0","430WK517144","","37700.0","Birmingham","10000.0","44201.0"
"","10000.0","457PC682779","","36025.0","Oxfordshire","35000.0","44349.0"
"","10000.0","466JB728197","","9000.0","Manchester","9000.0","44416.0"
"","10000.0","402CJ638135","","23610.0","Dorset","3000.0","44017.0"
"","10000.0","302VX097590","","50000.0","Surrey","50000.0","42877.0"
"","10000.0","446QE570563","","50000.0","Wiltshire","20000.0","44283.0"
"","10000.0","410VV665804","","825.0","Bristol","500.0","44074.0"
"","10000.0","323FS713037","","5000.0","Northern Ireland","1125.0","43143.0"
"","10000.0","172RS191760","","6200.0","Glasgow, City of","2000.0","40436.0"
"","10000.0","323BP832188","","30000.0","Cheshire East","10000.0","43140.0"
"","10000.0","384VK358709","","32100.0","Surrey","31200.0","43891.0"
"","10000.0","384PL440194","","9025.0","Cumbria","500.0","43889.0"
"","10000.0","267HQ525087","","50000.0","Cambridgeshire","14000.0","42423.0"
"","10000.0","380QX625544","","45050.0","Wiltshire","45000.0","43847.0"
"","10000.0","413DH899445","","25000.0","Bradford","5000.0","44091.0"
"","10000.0","162LC053258","","11500.0","Gloucestershire","1000.0","40144.0"
"","10000.0","461QB199216","","39000.0","Havering","25.0","44378.0"
"","10000.0","337SZ012014","","50000.0","Brighton and Hove","49995.0","43333.0"
"","10000.0","243WH247244","","43752.0","Cardiff","13000.0","42110.0"
"","5000.0","386BN880723","","2200.0","Croydon","50.0","43906.0"
"","5000.0","448ZY302161","","50000.0","Northern Ireland","50000.0","44295.0"
"","5000.0","282ZT831438","","500.0","Dorset","500.0","42643.0"
"","5000.0","414KJ010609","","46025.0","Hereford and Worcester","23000.0","44099.0"
"","5000.0","427FQ816338","","10250.0","Stockport","5000.0","44175.0"
"","5000.0","270HA676371","","40325.0","Essex","25.0","42461.0"
"","5000.0","413HJ098468","","46513.0","Leeds","30000.0","44092.0"
"","5000.0","287XY770687","","50000.0","Hertfordshire","9065.0","42695.0"
"","5000.0","431KL204748","","50000.0","Leeds","16987.0","44204.0"
"","5000.0","98HD492393","","50000.0","Barnet","5000.0","36861.0"
"","5000.0","410ZC738357","","20000.0","West Sussex","20000.0","44074.0"
"","5000.0","406QP325335","","43075.0","North East Scotland","25.0","44046.0"
"","5000.0","291BB372579","","50000.0","Cardiff","50000.0","42732.0"
"","5000.0","386VE439192","","50000.0","Reading","50000.0","43913.0"
"","5000.0","317KQ178297","","50000.0","West Yorkshire","15000.0","43068.0"
"","5000.0","450HT227293","","15050.0","Dorset","15000.0","44301.0"
"","5000.0","275WF795838","","17500.0","Wiltshire","17500.0","42550.0"
"","5000.0","459SX667383","","10000.0","Cumbria","5000.0","44369.0"
"","5000.0","102KG301264","","50000.0","Hereford and Worcester","5000.0","38658.0"
"","5000.0","392BB761559","","50000.0","Cheshire East","10000.0","43952.0"
"","5000.0","416CJ849492","","38775.0","West Scotland","20000.0","44108.0"
"","5000.0","282QY757660","","49995.0","Mid Scotland and Fife","49000.0","42641.0"
